source,rating,text,date,order_type,meal_type,price_per_person,food_rating,service_rating,atmosphere_rating,recommended_dishes,wait_time,user_location,user_reviews,user_elite,feedback_useful,feedback_funny,feedback_cool
Google,4.0,"The food was really good and the server was very nice. The only thing I didnt like was the parking, which cant be fixed easy and the price. I felt like the food was just a tad bit too expensive",2018-06-22T04:58:36Z,,,,,,,,,,,,,,
Google,1.0,"Unfortunately, the last time I went, I found not one but two black strands of hair in my takeout order (and my hair isn't black). The cooks do not wear hair nets apparently. Check your food before you eat it.",2018-07-06T15:39:54Z,,,,,,,,,,,,,,
Google,3.0,"We ordered tom yum soup (hey google, if you not synching pictures to my smartphone, I will happily upload my thousands picture collection). Food taste was average.",2016-06-08T16:39:11Z,,,,,,,,,,,,,,
Google,5.0,"Great food, great service and the place is clean. My nephew loves the steamed dumplings and the chicken fried rice is to die for!",2020-03-05T19:38:54Z,,,,,,,,,,,,,,
Google,5.0,Great food for good prices and the owners are friendly. It's way better than Rincome down the street so definitely come here instead. 💯,2022-01-02T22:15:03Z,,,,,,,,,,,,,,
Google,2.0,"Prices are ok, it is a quiet place to eat but when it comes to order by phone; this place is horrible; They never answer the phone and when you get there they tell you: Ohh We keep so busy and the place is empty. They just don't answer the phone, don't expect it. Lucky if you get l",2017-11-06T01:40:22Z,,,,,,,,,,,,,,
Google,5.0,Best Authentic Thai restaurant in Granada Hills. Support local restaurants such as this since there will be a time where thai food will be like the east coast and be bland with no spice.,2021-06-25T07:17:40Z,,,,,,,,,,,,,,
Google,5.0,My favorite place. I love the food and the service is excellent. My boyfriend and I are regulars here. I would definitely recommend.,2022-05-29T19:11:31Z,Dine in,Dinner,$10–20,,,,,,,,,,,
Google,5.0,Absolutely delicious. Had the crab Rangoon and orange chicken. Great price and great quality. Will definitely be back,2018-11-12T20:40:18Z,,,,,,,,,,,,,,
Google,5.0,"Delicious authentic Thai food made with love! Great food, friendly staff, family owned - what more do you need to know?",2019-07-26T06:54:07Z,,,,,,,,,,,,,,
Google,5.0,"Great place, great selection, great price, amazing service. The best Thai food place in the valley! Highly recommend it.",2019-09-25T23:47:58Z,,,,,,,,,,,,,,
Google,5.0,"The best Thai food in the valley, hands down. Yellow curry, chickem pad thai, and coconut soup are my go-to's every time.",2019-08-14T01:54:07Z,,,,,,,,,,,,,,
Google,4.0,This food was absolutely amazing..me and my husband very much enjoyed the food and couldn't stop taking about it. Excellent prices and so worth it!,2013-11-22T07:19:39Z,,,,,,,,,,,,,,
Google,5.0,Food was awesome. Shrimp Pad Thai was great. Not dried out like others.,2022-02-04T15:55:38Z,Take out,Dinner,$20–30,,,,,,,,,,,
Google,5.0,"Satay chicken, papaya salad, and sticky rice were really good. You can dine in. Great customer service. Love it",2021-04-26T03:27:46Z,,,,,,,,,,,,,,
Google,5.0,Came in for dinner after work and it was the perfect meal to complete my night. Service was great! Food was excellent!,2018-02-08T06:03:26Z,,,,,,,,,,,,,,
Google,5.0,"Absolutely Delicious, and very flavorful cuisine. One of my favorites is the Wonton Soup to start",2021-08-14T22:05:59Z,,Lunch,$20–30,,,,,,,,,,,
Google,5.0,Yellow curry and spicy noodles were a 10/10 and the staff is incredibly friendly! Portions are huge!,2023-05-29T03:02:44Z,,,,,,,,,,,,,,
Google,5.0,I super enjoyed coming here with my boyfriend. He was looking for a new Thai place to try and this place was amazing. Will be coming back.,2019-06-04T07:03:46Z,,,,,,,,,,,,,,
Google,5.0,"Really good food, my uncle took me here by surprise and normally I do not like Thai food",2019-01-29T05:05:56Z,,,,,,,,,,,,,,
Google,5.0,The food is always great.,2017-08-13T21:51:42Z,,,,,,,,,,,,,,
